positive,negative,date
1.0,0.75,11/10/15
18.875,9.75,11/11/15
5.5,6.875,11/11/15
5.875,3.125,11/12/15
6.0,5.375,11/13/15
4.625,2.5,11/15/15
6.375,10.875,11/16/15
2.0,0.5,11/17/15
4.0,8.375,11/17/15
2.75,1.5,11/18/15
9.875,7.125,11/20/15
11.125,10.0,11/21/15
6.875,7.5,11/23/15
2.375,0.375,11/24/15
10.25,10.5,11/24/15
7.5,6.0,11/25/15
0.0,3.125,11/26/15
10.25,2.0,11/26/15
3.25,3.25,11/26/15
5.25,3.375,11/26/15
7.125,5.25,11/26/15
8.0,8.875,11/27/15
6.125,1.875,11/30/15
6.75,5.375,11/30/15
7.0,7.375,12/1/15
8.0,7.75,12/2/15
5.5,5.625,12/4/15
9.5,9.625,12/4/15
1.875,0.375,12/5/15
3.125,3.25,12/7/15
6.5,4.875,12/7/15
1.5,0.0,12/8/15
6.25,16.375,12/8/15
8.375,3.125,12/9/15
4.625,8.625,12/9/15
6.75,8.25,12/10/15
8.875,15.125,12/11/15
0.375,0.5,12/12/15
3.25,2.25,12/13/15
4.125,11.375,12/14/15
5.375,8.625,12/15/15
7.875,2.375,12/16/15
1.0,1.75,12/17/15
2.625,3.875,12/18/15
1.375,0.5,12/19/15
3.625,8.625,12/21/15
0.0,0.0,12/21/15
0.625,0.375,12/22/15
0.875,0.125,12/23/15
1.25,0.875,12/24/15
5.25,3.5,12/26/15
1.75,1.75,12/28/15
0.5,0.125,12/28/15
0.0,1.375,12/28/15
0.625,0.5,12/28/15
0.25,0.875,12/29/15
0.0,0.0,12/29/15
0.0,0.0,12/29/15
0.125,0.375,12/29/15
2.25,2.0,12/30/15
3.5,1.0,12/30/15
0.0,0.625,12/30/15
0.125,1.125,12/30/15
1.0,1.875,1/1/16
0.375,0.125,1/2/16
1.75,1.25,1/4/16
1.25,1.25,1/4/16
0.875,1.125,1/4/16
0.75,0.375,1/5/16
2.25,0.625,1/6/16
8.25,13.875,1/6/16
0.25,1.625,1/6/16
7.5,8.125,1/6/16
0.375,1.125,1/7/16
1.125,1.625,1/7/16
0.625,1.0,1/8/16
0.625,1.25,1/8/16
0.875,2.875,1/9/16
0.25,0.0,1/10/16
1.875,0.75,1/11/16
0.0,0.0,1/11/16
0.875,0.25,1/11/16
0.5,0.0,1/12/16
0.125,1.0,1/12/16
0.25,0.375,1/13/16
0.375,0.625,1/14/16
0.375,0.25,1/15/16
8.5,4.25,1/16/16
1.75,0.75,1/16/16
0.625,0.0,1/16/16
4.25,1.0,1/17/16
2.0,0.5,1/18/16
0.75,1.5,1/18/16
0.125,0.125,1/19/16
0.625,0.25,1/20/16
0.0,0.125,1/21/16
0.625,0.5,1/22/16
0.0,0.625,1/25/16
1.0,0.75,1/25/16
1.25,0.375,1/26/16
1.0,0.625,1/28/16
0.0,3.375,1/29/16
0.375,0.125,1/30/16
0.0,0.0,1/30/16
0.25,0.25,1/31/16
0.0,0.0,2/1/16
2.125,0.75,2/1/16
1.0,1.125,2/2/16
0.625,0.25,2/4/16
0.75,0.375,2/5/16
0.5,0.125,2/8/16
13.875,3.625,2/9/16
0.625,0.125,2/9/16
1.125,0.125,2/9/16
0.125,1.0,2/9/16
0.75,0.875,2/9/16
0.125,0.25,2/10/16
0.0,0.0,2/10/16
0.125,0.0,2/10/16
1.0,0.375,2/10/16
5.0,4.125,2/11/16
0.25,0.5,2/11/16
1.125,0.875,2/12/16
0.0,0.5,2/13/16
9.5,4.375,2/14/16
1.125,1.0,2/15/16
0.75,0.125,2/16/16
0.125,0.125,2/16/16
0.375,0.375,2/16/16
0.0,0.125,2/16/16
2.125,3.625,2/17/16
0.625,0.75,2/17/16
1.25,1.125,2/18/16
0.5,0.5,2/19/16
0.0,0.25,2/20/16
0.0,0.0,2/22/16
1.625,1.625,2/22/16
0.375,0.0,2/23/16
0.5,0.25,2/23/16
0.375,0.375,2/24/16
0.625,1.25,2/25/16
0.25,1.125,2/26/16
0.25,0.125,2/27/16
1.125,0.125,2/28/16
0.375,0.25,2/28/16
13.847,14.403,2/29/16
1.25,0.375,2/29/16
0.5,0.0,3/1/16
0.25,1.0,3/1/16
1.5,0.625,3/2/16
1.0,0.75,3/3/16
0.375,0.75,3/3/16
0.875,1.125,3/4/16
0.25,0.0,3/5/16
0.625,0.5,3/5/16
1.125,0.375,3/6/16
0.75,1.125,3/7/16
0.5,0.0,3/1/16
0.25,1.0,3/1/16
1.5,0.625,3/2/16
1.0,0.75,3/3/16
0.375,0.75,3/3/16
0.875,1.125,3/4/16
0.25,0.0,3/5/16
0.625,0.5,3/5/16
1.125,0.375,3/6/16
0.75,1.125,3/7/16
0.625,0.0,3/8/16
0.5,0.375,3/9/16
0.125,0.0,3/11/16
1.25,0.25,3/12/16
0.75,1.375,3/13/16
0.75,0.875,3/14/16
0.25,1.25,3/15/16
0.25,0.375,3/15/16
0.0,0.0,3/15/16
0.25,0.125,3/15/16
0.5,1.25,3/15/16
0.375,1.0,3/16/16
1.5,1.75,3/17/16
1.75,1.25,3/18/16
2.375,0.625,3/18/16
1.625,0.5,3/20/16
1.0,0.125,3/21/16
0.25,0.75,3/21/16
0.75,1.0,3/21/16
3.5,4.5,3/22/16
1.5,0.375,3/22/16
0.0,0.75,3/24/16
0.75,0.375,3/24/16
0.625,0.375,3/25/16
0.75,0.5,3/28/16
0.375,0.25,3/29/16
0.5,0.5,3/29/16
0.0,0.125,3/30/16
0.125,0.875,3/30/16
0.125,0.0,3/31/16
0.625,0.125,3/31/16
0.5,0.5,3/31/16
1.25,0.75,4/1/16
0.25,0.25,4/2/16
11.875,5.875,4/2/16
0.125,0.75,4/4/16
0.125,0.0,4/5/16
0.5,0.25,4/6/16
0.875,0.75,4/6/16
0.75,1.0,4/7/16
0.125,1.625,4/8/16
6.875,5.75,4/9/16
0.375,0.75,4/9/16
0.25,0.5,4/11/16
0.125,0.125,4/12/16
0.5,0.0,4/12/16
0.125,0.25,4/12/16
0.125,0.75,4/12/16
0.0,2.0,4/13/16
1.375,0.375,4/14/16
0.375,1.375,4/14/16
4.125,3.25,4/14/16
0.5,0.375,4/15/16
0.0,0.0,4/16/16
0.125,0.0,4/17/16
0.5,0.375,4/18/16
0.75,0.75,4/19/16
0.0,0.25,4/19/16
1.0,1.375,4/20/16
0.875,0.0,4/21/16
7.125,5.375,4/22/16
1.375,0.0,4/22/16
0.0,0.25,4/23/16
0.25,0.375,4/24/16
0.25,0.625,4/24/16
1.625,0.375,4/25/16
5.375,4.0,4/25/16
5.25,3.625,4/26/16
1.375,0.5,4/26/16
1.25,0.125,4/26/16
0.625,1.5,4/27/16
0.875,0.125,4/28/16
0.75,0.875,4/28/16
0.0,0.25,4/28/16
1.375,0.375,4/28/16
0.75,0.375,4/29/16
1.625,0.5,4/29/16
0.5,0.375,4/29/16
0.875,0.125,4/30/16
2.125,2.5,5/1/16
0.875,2.0,5/1/16
0.625,0.0,5/2/16
0.375,0.125,5/2/16
6.875,3.625,5/3/16
1.125,0.875,5/3/16
0.25,0.625,5/3/16
1.0,0.125,5/3/16
0.375,0.5,5/4/16
1.5,0.875,5/5/16
3.25,1.5,5/5/16
0.0,0.0,5/6/16
17.125,6.375,5/6/16
2.25,1.5,5/6/16
0.375,1.0,5/6/16
0.5,0.0,5/6/16
1.5,1.75,5/7/16
0.375,0.75,5/7/16
7.25,2.875,5/8/16
12.5,4.75,5/9/16
0.375,0.75,5/9/16
5.5,1.75,5/10/16
0.75,0.875,5/10/16
0.5,0.25,5/10/16
0.75,0.875,5/10/16
1.75,2.25,5/10/16
2.875,0.875,5/11/16
0.75,0.125,5/11/16
0.375,1.5,5/11/16
0.75,0.125,5/11/16
1.25,1.5,5/11/16
1.75,0.0,5/12/16
0.375,0.625,5/12/16
0.75,0.0,5/13/16
1.375,2.75,5/13/16
1.75,0.25,5/13/16
3.0,2.25,5/13/16
1.125,0.875,5/13/16
5.875,3.625,5/13/16
0.25,0.25,5/14/16
8.25,3.75,5/14/16
0.375,0.125,5/15/16
0.875,0.25,5/16/16
0.625,1.125,5/16/16
0.75,0.125,5/16/16
4.5,5.0,5/16/16
8.5,1.5,5/17/16
0.75,0.625,5/17/16
0.375,0.125,5/17/16
0.875,0.125,5/17/16
0.0,0.25,5/18/16
0.75,0.5,5/18/16
0.5,0.25,5/19/16
0.125,0.5,5/19/16
1.375,0.0,5/19/16
0.875,0.125,5/19/16
0.375,0.25,5/20/16
0.75,0.375,5/20/16
1.25,0.0,5/20/16
1.0,0.625,5/20/16
0.75,1.375,5/20/16
0.5,0.0,5/21/16
0.0,0.0,5/21/16
0.375,0.125,5/21/16
7.875,3.875,5/21/16
1.25,1.75,5/22/16
0.625,0.625,5/22/16
0.375,0.0,5/23/16
3.0,0.375,5/23/16
0.75,0.5,5/23/16
0.0,0.0,5/23/16
1.375,1.625,5/23/16
0.25,0.875,5/24/16
0.875,0.375,5/24/16
1.375,0.875,5/24/16
0.625,0.25,5/24/16
0.0,0.0,5/25/16
0.0,1.75,5/25/16
0.875,0.0,5/25/16
0.0,0.0,5/25/16
0.75,0.5,5/25/16
0.0,0.0,5/26/16
0.125,0.125,5/26/16
0.5,0.375,5/26/16
0.625,0.25,5/27/16
0.875,0.125,5/27/16
0.125,0.25,5/28/16
1.25,1.0,5/28/16
12.0,6.0,5/29/16
0.25,0.0,5/30/16
0.125,0.25,5/30/16
2.0,1.5,5/30/16
1.25,1.125,5/30/16
0.0,0.625,5/31/16
0.25,0.125,5/31/16
0.25,0.375,5/31/16
0.125,0.125,6/1/16
1.25,0.0,6/1/16
0.75,0.625,6/1/16
0.25,0.0,6/2/16
0.5,0.375,6/2/16
1.625,1.125,6/3/16
1.0,0.125,6/3/16
0.25,0.0,6/3/16
0.625,0.25,6/3/16
0.375,0.0,6/4/16
0.75,0.875,6/4/16
3.625,3.0,6/5/16
9.125,3.75,6/5/16
6.75,5.0,6/6/16
1.25,0.5,6/6/16
0.375,0.5,6/6/16
0.0,0.375,6/7/16
0.5,0.75,6/7/16
1.5,0.0,6/7/16
10.5,2.875,6/8/16
0.5,1.75,6/8/16
0.5,0.625,6/8/16
1.125,2.0,6/9/16
1.125,1.375,6/9/16
1.125,0.625,6/10/16
0.5,0.375,6/10/16
0.625,0.125,6/10/16
0.0,0.375,6/12/16
0.5,0.125,6/13/16
0.875,1.5,6/13/16
1.375,0.0,6/13/16
0.0,0.0,6/14/16
0.75,0.375,6/15/16
0.0,0.0,6/15/16
1.0,0.375,6/16/16
0.25,0.0,6/16/16
0.875,0.75,6/17/16
0.5,0.0,6/17/16
0.25,0.125,6/17/16
0.125,0.0,6/20/16
0.25,0.25,6/20/16
1.375,0.125,6/20/16
0.75,0.375,6/20/16
0.5,0.25,6/21/16
1.5,0.25,6/21/16
0.0,0.0,6/21/16
1.125,2.0,6/22/16
1.375,0.375,6/22/16
0.0,0.75,6/23/16
1.125,0.5,6/23/16
1.5,0.625,6/23/16
0.0,0.0,6/23/16
0.375,1.0,6/24/16
0.25,0.0,6/24/16
7.25,9.875,6/24/16
0.25,1.25,6/24/16
0.875,0.375,6/24/16
10.25,10.375,6/25/16
2.625,1.75,6/25/16
0.875,0.625,6/25/16
0.375,0.625,6/27/16
1.25,1.0,6/27/16
0.25,0.5,6/27/16
0.5,0.75,6/28/16
1.375,0.375,6/28/16
7.125,7.375,6/28/16
0.0,0.25,6/29/16
0.25,0.0,6/29/16
0.875,0.125,6/29/16
17.25,4.625,6/29/16
0.25,0.75,6/29/16
0.0,0.0,6/29/16
0.5,0.0,6/29/16
0.25,0.375,6/29/16
0.875,0.25,6/29/16
0.25,1.375,6/30/16
0.75,0.625,6/30/16
1.125,0.375,6/30/16
0.5,0.375,7/1/16
0.375,0.125,7/1/16
0.5,0.375,7/1/16
1.0,0.0,7/1/16
0.375,0.375,7/2/16
3.875,0.75,7/4/16
0.75,0.25,7/4/16
0.75,0.5,7/5/16
0.75,0.25,7/5/16
1.25,1.25,7/6/16
0.5,1.75,7/7/16
0.0,0.25,7/7/16
0.625,1.875,7/7/16
0.625,0.5,7/7/16
0.875,1.5,7/8/16
1.0,0.75,7/8/16
0.125,0.25,7/8/16
13.75,8.0,7/9/16
9.0,8.375,7/10/16
0.625,0.625,7/11/16
1.25,0.875,7/12/16
1.0,0.625,7/12/16
0.625,0.25,7/13/16
